dt,sber_open,sber_high,sber_low,sber_close,sber_volume,sber_open_interest,ofz_open,ofz_high,ofz_low,ofz_close,ofz_volume,ofz_open_interest,beta,z,vol_scale,regime,pos_dir,pos_change,sber_qty,ofz_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,drawdown
2025-01-03 10:00:00,279.99,280.41,279.2,279.54,241287,0,59.723,59.998,59.723,59.991,525,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:05:00,279.54,279.56,278.11,278.4,228933,0,59.827,60.143,59.765,59.928,1783,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:10:00,278.53,279.21,278.14,278.4,101954,0,60.179,60.6,59.813,60.377,2768,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:15:00,278.42,279.01,278.3,278.31,61568,0,60.369,60.372,59.909,60.013,209,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:20:00,278.32,278.44,277.77,277.8,117768,0,60.329,60.4,60.038,60.1,145,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:25:00,277.8,277.81,276.53,276.89,206111,0,60.1,60.4,59.882,60.1,434,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:30:00,276.89,277.62,276.76,277.47,68099,0,60.101,60.399,60.101,60.367,379,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:35:00,277.45,277.73,277.34,277.48,43119,0,60.3,60.368,60.121,60.2,239,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:40:00,277.5,277.5,276.6,276.87,79726,0,60.2,60.2,60.1,60.1,230,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:45:00,276.87,276.87,275.65,276.07,105235,0,60.2,60.32,60.2,60.32,373,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:50:00,276.0,276.14,275.2,275.52,124103,0,60.319,60.32,59.874,60.246,2527,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 10:55:00,275.52,276.0,275.52,275.8,41692,0,60.228,60.228,59.7,59.7,481,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:00:00,275.8,275.8,275.11,275.11,75181,0,59.7,59.798,59.576,59.79,331,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:05:00,275.11,275.2,274.63,274.68,91728,0,59.788,59.788,59.602,59.779,164,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:10:00,274.69,275.08,274.5,275.02,56775,0,59.777,59.782,59.601,59.65,166,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:15:00,275.02,275.32,274.9,275.15,51931,0,59.65,59.65,59.602,59.602,32,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:20:00,275.15,275.45,274.97,275.27,39278,0,59.65,59.65,59.4,59.512,1642,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:25:00,275.27,275.28,274.92,275.22,20510,0,59.59,59.591,59.45,59.563,406,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:30:00,275.22,275.22,274.3,274.9,49372,0,59.562,59.565,59.494,59.494,120,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:35:00,274.96,275.75,274.94,275.75,40979,0,59.494,59.594,59.452,59.46,586,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:40:00,275.75,275.82,275.38,275.4,37278,0,59.594,59.595,59.451,59.464,385,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:45:00,275.39,275.75,274.85,275.59,49879,0,59.464,59.589,59.412,59.529,200,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:50:00,275.55,275.62,275.12,275.38,12895,0,59.529,59.539,59.522,59.539,290,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 11:55:00,275.39,275.47,274.85,275.13,12026,0,59.539,59.54,59.42,59.536,630,0,0.0,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:00:00,275.11,275.29,274.38,274.38,41093,0,59.536,59.536,59.425,59.527,502,0,-0.05813814942900206,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:05:00,274.41,274.92,274.31,274.46,25639,0,59.529,59.529,59.356,59.489,2128,0,-0.059511856270939634,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:10:00,274.46,274.81,274.31,274.61,19761,0,59.367,59.523,59.367,59.523,1430,0,-0.05458761178313167,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:15:00,274.61,274.92,274.6,274.74,16474,0,59.521,59.523,59.17,59.17,3624,0,-0.07193143722238182,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:20:00,274.8,274.93,274.7,274.71,13775,0,59.177,59.199,59.176,59.186,435,0,-0.07028224679949367,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:25:00,274.61,274.65,273.88,273.91,59857,0,59.187,59.187,59.18,59.18,85,0,-0.07337341587381731,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:30:00,273.9,274.36,273.71,273.88,77587,0,59.18,59.2,59.178,59.18,3076,0,-0.07232033274599839,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:35:00,273.94,274.33,273.89,274.01,93269,0,59.179,59.197,59.086,59.184,163,0,-0.0700840472391955,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:40:00,274.02,274.04,273.36,273.42,122004,0,59.102,59.156,58.901,58.901,1896,0,-0.04324615120383363,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:45:00,273.43,273.95,273.38,273.64,22877,0,59.114,59.2,58.927,59.152,5411,0,-0.017302952427399456,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:50:00,273.65,274.38,273.04,274.36,83699,0,59.0,59.137,59.0,59.0,28,0,-0.03893947023759334,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 12:55:00,274.37,274.42,273.84,273.88,18845,0,58.998,59.198,58.952,59.196,2866,0,-0.05087833706364168,0.0,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 13:00:00,273.88,273.97,273.53,273.65,23697,0,59.196,59.2,59.091,59.196,350,0,-0.051145052897059354,-0.14316816247958325,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 13:05:00,273.7,273.78,273.31,273.31,34417,0,59.196,59.196,59.193,59.194,90,0,-0.051774379096346294,-0.3822646250127343,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2025-01-03 13:10:00,273.31,273.98,273.31,273.88,19560,0,59.093,59.195,59.055,59.194,53,0,-0.048887412654307065,1.5815495927593872,0.25,sideways,-1.0,-1.0,-45640.42646414488,211170.05101868432,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-25.237823439878234,-25.237823439878234
2025-01-03 13:15:00,273.88,274.0,273.83,273.99,13375,0,59.094,59.19,58.953,58.953,189,0,-0.05695875142725716,0.42518350377084735,0.25,sideways,0.0,1.0,0.0,-0.0,-55912.42920655941,-2.8550274992947617,-24.954128464615554,-55940.23836252333,-55965.476185963205,-55965.476185963205
2025-01-03 13:20:00,273.98,274.2,273.85,274.11,10032,0,59.19,59.195,59.168,59.195,699,0,-0.04206477095216098,0.679841297480406,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-55965.476185963205,-55965.476185963205
2025-01-03 13:25:00,274.13,274.2,273.99,273.99,11458,0,59.195,59.2,59.169,59.2,3976,0,-0.041987955290685094,0.041294265323304186,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-55965.476185963205,-55965.476185963205
2025-01-03 13:30:00,273.99,274.0,273.57,273.86,11647,0,59.199,59.2,58.996,59.2,86,0,-0.04196493896161432,0.01622364404204792,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-55965.476185963205,-55965.476185963205
2025-01-03 13:35:00,273.86,274.23,273.79,274.19,22692,0,59.199,59.199,59.199,59.199,23,0,-0.040603431577012676,1.0404724859956096,0.25,sideways,-1.0,-1.0,-45588.82526715052,211152.2154090441,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-55990.714009403084,-55990.714009403084
2025-01-03 13:40:00,274.18,274.32,274.12,274.32,12252,0,59.101,59.2,59.101,59.2,47,0,-0.03978808361776569,0.5756978690028897,0.25,sideways,0.0,1.0,0.0,-0.0,-5715.395069319308,-2.855234371526194,-25.00613769950014,-5743.256441390335,-61733.97045079342,-61733.97045079342
2025-01-03 13:45:00,274.31,274.32,273.75,273.76,14031,0,59.2,59.2,59.1,59.198,48,0,-0.04093474623325894,-0.9871516914089582,0.25,sideways,-1.0,-1.0,-45660.4324956166,211155.78228994223,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-61759.2082742333,-61759.2082742333
2025-01-03 13:50:00,274.15,274.2,273.67,273.86,27292,0,59.198,59.198,59.101,59.195,10,0,-0.040387088722623574,0.5205631946761228,0.25,sideways,0.0,1.0,0.0,-0.0,-5199.5105964325485,-2.854923754166567,-25.00393257590269,-5227.369452762618,-66986.57772699592,-66986.57772699592
2025-01-03 13:55:00,273.84,273.95,273.67,273.91,10062,0,59.101,59.197,59.059,59.059,39,0,-0.04333532758931244,0.33860822447766187,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-66986.57772699592,-66986.57772699592
2025-01-03 14:00:00,273.96,274.0,273.92,273.92,2635,0,59.196,59.196,59.078,59.189,15,0,-0.039476705911930005,0.36017594801596475,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-66986.57772699592,-66986.57772699592
2025-01-03 14:05:00,273.35,273.35,273.01,273.1,34679,0,59.088,59.197,59.088,59.197,31,0,-0.04225329308767591,-1.5911734116231246,0.25,sideways,1.0,1.0,45770.779934090075,-211159.3492913492,-0.0,-0.23782343987823484,-25.0,-25.237823439878234,-67011.8155504358,-67011.8155504358
2025-01-03 14:10:00,273.1,273.1,272.2,272.34,107464,0,59.197,59.462,59.197,59.461,122,0,-0.06711199492311798,-1.2378905704343677,0.25,sideways,1.0,0.0,45898.50921642066,-210221.82607086998,-90531.86096282594,2.60811587684553,-0.09053186096282635,-90529.34337881005,-157541.15892924584,-157541.15892924584
2025-01-03 14:15:00,272.34,272.74,272.05,272.57,53657,0,59.463,59.5,59.188,59.189,2524,0,-0.0783129724964833,0.6309659946528842,0.25,sideways,0.0,-1.0,0.0,-0.0,67736.99381105391,2.85629147422826,-24.9533763204285,67714.8967262077,-89826.26220303813,-89826.26220303813
2025-01-03 14:20:00,272.52,272.57,272.42,272.5,24844,0,59.188,59.337,59.145,59.312,262,0,-0.07600577641639507,0.2561413650180844,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-89826.26220303813,-89826.26220303813
2025-01-03 14:25:00,272.47,272.93,272.45,272.57,39980,0,59.303,59.389,59.296,59.389,11,0,-0.07295971725871923,0.5385665550674358,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-89826.26220303813,-89826.26220303813
2025-01-03 14:30:00,272.54,272.61,272.46,272.46,20427,0,59.332,59.332,59.168,59.289,35,0,-0.07282820481975934,-0.028323188646903596,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-89826.26220303813,-89826.26220303813
2025-01-03 14:35:00,272.46,272.46,271.8,272.06,40819,0,59.286,59.328,59.286,59.325,72,0,-0.07461170526307936,-0.6054055375893551,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-89826.26220303813,-89826.26220303813
2025-01-03 14:40:00,272.78,273.29,272.6,273.29,29666,0,59.326,59.326,59.29,59.29,35,0,-0.07913825870544142,2.9640863087925395,0.25,sideways,-1.0,-1.0,-45738.95861539024,210828.132906055,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-89851.50002647801,-89851.50002647801
2025-01-03 14:45:00,273.12,273.15,272.94,273.1,5515,0,59.315,59.315,59.307,59.307,71,0,-0.07942896985582681,-0.15718049358506941,0.25,sideways,0.0,1.0,0.0,-0.0,12274.480396327612,-2.8518971684618895,-24.994893676122476,12246.633605483026,-77604.86642099498,-77604.86642099498
2025-01-03 14:50:00,273.16,273.24,272.92,272.99,12846,0,59.306,59.315,59.177,59.177,220,0,-0.07872283874148053,-0.0968932263962391,0.25,sideways,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-77604.86642099498,-77604.86642099498
2025-01-03 14:55:00,273.06,273.14,272.9,272.92,6663,0,59.208,59.3,59.144,59.274,3835,0,-0.07744784226601355,0.17676646328693907,0.25,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-77604.86642099498,-77604.86642099498
2025-01-03 15:00:00,272.92,273.29,272.48,273.26,26090,0,59.251,59.251,59.071,59.171,58,0,-0.08280097746188539,0.9284310233000144,0.25,bear,-1.0,-1.0,-45743.98009221986,211252.13364654983,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-77630.10424443486,-77630.10424443486
2025-01-03 15:05:00,273.2,273.29,273.14,273.25,4312,0,59.16,59.16,59.152,59.152,12,0,-0.08287313888243292,0.20076774928674082,0.25,bear,0.0,1.0,0.0,-0.0,-3556.350738362316,-2.8537768402281,-24.995528769659792,-3584.2000439722037,-81214.30428840706,-81214.30428840706
2025-01-03 15:10:00,273.47,273.6,273.37,273.54,7645,0,59.163,59.199,59.153,59.199,257,0,-0.07935401756569375,0.9321962289973922,0.25,bear,-1.0,-1.0,-45697.15580902244,211152.2154090441,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-81239.54211184694,-81239.54211184694
2025-01-03 15:15:00,273.59,273.64,273.41,273.52,9481,0,59.199,59.274,59.199,59.271,177,0,-0.078100709441521,0.23714700665825975,0.25,bear,0.0,1.0,0.0,-0.0,16116.902625633966,-2.853672615726899,-25.01428901639327,16089.034664001845,-65150.50744784509,-65150.50744784509
2025-01-03 15:20:00,273.35,273.51,273.1,273.39,7730,0,59.2,59.275,59.174,59.174,10,0,-0.07730531049208439,-0.1566052270732028,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-65150.50744784509,-65150.50744784509
2025-01-03 15:25:00,273.37,273.39,273.21,273.29,3476,0,59.274,59.274,59.056,59.255,3421,0,-0.07694266278396276,0.06078659977486037,0.25,bear,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-65150.50744784509,-65150.50744784509
2025-01-03 15:30:00,273.31,273.4,273.25,273.36,2379,0,59.247,59.247,59.235,59.235,16,0,-0.07714239939266122,0.3730553027573209,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-65150.50744784509,-65150.50744784509
2025-01-03 15:35:00,273.12,273.25,272.99,273.13,3730,0,59.221,59.223,59.087,59.125,62,0,-0.0747950999021611,-0.4070094576123667,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-65150.50744784509,-65150.50744784509
2025-01-03 15:40:00,273.12,273.35,273.11,273.35,969,0,59.218,59.218,59.104,59.215,100,0,-0.06988378678409289,0.8155633946257426,0.25,bear,-1.0,-1.0,-45728.91896835558,211095.16169889385,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-65175.74527128497,-65175.74527128497
2025-01-03 15:45:00,273.36,273.44,273.04,273.04,5185,0,59.213,59.255,59.133,59.255,18,0,-0.07130493596287453,-0.48475880055915166,0.25,bear,0.0,1.0,0.0,-0.0,22619.771348145907,-2.850644756876669,-24.994267841587767,22591.926435547444,-42583.818835737526,-42583.818835737526
2025-01-03 15:50:00,273.29,273.39,272.99,273.12,6847,0,59.275,59.311,59.25,59.309,101,0,-0.06960541664851012,0.45846363533533885,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-42583.818835737526,-42583.818835737526
2025-01-03 15:55:00,273.12,273.19,272.99,273.03,1832,0,59.309,59.34,59.254,59.337,302,0,-0.06954258201601966,0.026903072298615504,0.25,bear,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-42583.818835737526,-42583.818835737526
2025-01-03 16:00:00,273.06,273.06,272.51,272.83,13659,0,59.339,59.34,59.285,59.288,487,0,-0.06887715269129509,-0.2985439009817145,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-42583.818835737526,-42583.818835737526
2025-01-03 16:05:00,272.8,272.87,272.58,272.66,5057,0,59.339,59.34,59.286,59.336,22,0,-0.06934549033461213,-0.1485863899759468,0.25,bear,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-42583.818835737526,-42583.818835737526
2025-01-03 16:10:00,272.72,272.78,272.71,272.73,1016,0,59.33,59.33,59.04,59.053,3655,0,-0.07202346976906794,0.17380140839177632,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-42583.818835737526,-42583.818835737526
2025-01-03 16:15:00,272.71,273.08,272.67,273.06,8893,0,59.218,59.218,59.064,59.174,1196,0,-0.06403552208162816,1.125156401047542,0.25,bear,-1.0,-1.0,-45777.48480187505,211241.42359820192,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-42609.056659177404,-42609.056659177404
2025-01-03 16:20:00,273.07,273.08,272.83,272.93,2501,0,59.174,59.204,59.09,59.204,9,0,-0.06420709533670817,-0.08274124026811076,0.25,bear,0.0,1.0,0.0,-0.0,12288.315732189847,-2.8525225860675243,-25.0003861696837,12260.462823434096,-30348.593835743308,-30348.593835743308
2025-01-03 16:25:00,272.94,273.05,272.9,272.98,1260,0,59.192,59.192,59.192,59.192,10,0,-0.0642400097276497,0.33311810348073345,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-30348.593835743308,-30348.593835743308
2025-01-03 16:30:00,272.98,273.02,272.74,272.76,2751,0,59.187,59.187,59.04,59.041,4477,0,-0.061062128611971994,-0.43942419357570567,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-30348.593835743308,-30348.593835743308
2025-01-03 16:35:00,272.77,272.84,272.71,272.73,3656,0,59.042,59.137,59.0,59.11,112,0,-0.06025819450705992,0.19473331209294029,0.25,bear,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-30348.593835743308,-30348.593835743308
2025-01-03 16:40:00,272.74,272.89,272.72,272.81,3263,0,59.101,59.164,58.97,59.102,66,0,-0.06019760449842602,0.4168046867369317,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-30348.593835743308,-30348.593835743308
2025-01-03 16:45:00,272.78,272.81,272.53,272.62,13275,0,59.07,59.074,58.904,59.057,286,0,-0.05969317723539404,-0.2970143365914711,0.25,bear,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-30348.593835743308,-30348.593835743308
2025-01-03 16:50:00,272.61,272.85,272.61,272.85,9967,0,59.053,59.097,59.053,59.097,23,0,-0.05756321290418662,0.8329183995946847,0.25,bear,-1.0,-1.0,-45812.71761040865,211516.65905206694,0.0,-0.23782343987823484,-25.0,-25.237823439878234,-30373.831659183186,-30373.831659183186
2025-01-03 16:55:00,272.97,272.98,272.87,272.96,3004,0,59.086,59.086,58.965,58.965,53,0,-0.05996752620986838,0.3993394472673172,0.25,bear,0.0,1.0,0.0,-0.0,-32959.597932015364,-2.855031826241357,-24.977119199942273,-32987.430083041545,-63361.26174222473,-63361.26174222473
